MetricKey,Metric,Source_Category
33,% Point Change 2023-24 of Statement: I Trust That Companies That Use Artificial Intelligence Will Protect My Personal Data,Public Opinion
34,% Point Change 2023-24 of Statement: Products And Services Using Artificial Intelligence Have Profoundly Changed My Daily Life In The Past 3-5 Years,Public Opinion
35,% Point Change 2023-24 of Statement: Products And Services Using Artificial Intelligence Make Me Excited,Public Opinion
36,% Point Change 2023-24 of Statement: Products And Services Using Artificial Intelligence Make Me Nervous,Public Opinion
37,% Point Change 2023-24 of Statement: Products And Services Using Artificial Intelligence Will Profoundly Change My Daily Life In The Next 3-5 Years,Public Opinion
38,% Public High Schools Teaching Foundational CS,Education
39,AI Hiring Index,Global AI Vibrancy Tool
40,AI Hiring Index (Average 2020),Economy
41,AI Hiring Index (December 2020),Economy
42,AI Index: Commercial Score,Economic/Strategic
43,AI Index: Development Score,Economic/Strategic
44,AI Index: Government Strategy Score,Economic/Strategic
45,AI Index: Infrastructure Score,Economic/Strategic
46,AI Index: Intensity Score,Economic/Strategic
47,AI Index: Operating Environment Score,Economic/Strategic
48,AI Index: Overall Score,Economic/Strategic
49,AI Index: Research Score,Economic/Strategic
50,AI Index: Scale Score,Economic/Strategic
51,AI Index: Talent Score,Economic/Strategic
52,AI Job Postings (% Of All Job Postings) (2024 Report Methodology),Economy
53,AI Job Postings (% Of All Job Postings) (2025 Report Methodology),Economy
54,AI Projects (% Of Total) [2023 Report Snapshot],Research and Development
55,AI Projects (% Of Total) [2024 Report Snapshot],Research and Development
56,AI Publications (% Of Total): Education,Research and Development
57,AI Publications (% Of Total): Government,Research and Development
58,AI Publications (% Of Total): Industry,Research and Development
59,AI Publications (% Of Total): Nonprofit,Research and Development
60,AI Talent Concentration (Global AI Vibrancy Tool),Global AI Vibrancy Tool
61,AI Talent Concentration (Share of LinkedIn Members),Economy
62,AI Talent Concentration (Share of Professionals),Economy
63,AI Talent Concentration: Female (Share of LinkedIn Members),Economy
64,AI Talent Concentration: Female (Share of Professionals),Economy
65,AI Talent Concentration: Male (Share of LinkedIn Members),Economy
66,AI Talent Concentration: Male (Share of Professionals),Economy
67,AI Talent Representation: Female,Economy
68,AI Talent Representation: Male,Economy
69,AI Usage: AI Services Used (Character),Social/Usage
70,AI Usage: AI Services Used (ChatGPT),Social/Usage
71,AI Usage: AI Services Used (Claude),Social/Usage
72,AI Usage: AI Services Used (Copilot),Social/Usage
73,AI Usage: AI Services Used (DeepSeek),Social/Usage
74,AI Usage: AI Services Used (Gemini),Social/Usage
75,AI Usage: AI Services Used (Grok),Social/Usage
76,AI Usage: AI Services Used (Meta),Social/Usage
77,AI Usage: AI Services Used (Perplexity),Social/Usage
78,AI Usage: AI Services Used (Replika),Social/Usage
79,AI Usage: AI Use-Cases (Advice),Social/Usage
80,AI Usage: AI Use-Cases (Expression),Social/Usage
81,AI Usage: AI Use-Cases (Information),Social/Usage
82,AI Usage: AI Use-Cases (Multimedia),Social/Usage
83,AI Usage: AI Use-Cases (Technical),Social/Usage
84,AI Usage: AI Use-Cases (Writing),Social/Usage
85,AI Usage: Job Provides AI (I don't know),Social/Usage
86,AI Usage: Job Provides AI (No),Social/Usage
87,AI Usage: Job Provides AI (Yes),Social/Usage
88,AI Usage: Long Thinking Queries (1 to 5 times in the past week),Social/Usage
89,AI Usage: Long Thinking Queries (5+ times in the past week),Social/Usage
90,AI Usage: Long Thinking Queries (Never in the past week),Social/Usage
91,AI Usage: Long Thinking Queries (Once in the past week),Social/Usage
92,AI Usage: Messages Sent (0 messages),Social/Usage
93,AI Usage: Messages Sent (1-2 messages),Social/Usage
94,AI Usage: Messages Sent (11-50 messages),Social/Usage
95,AI Usage: Messages Sent (3-10 messages),Social/Usage
96,AI Usage: Messages Sent (50+ messages),Social/Usage
97,AI Usage: Paid AI Subscriptions (Character AI Plus),Social/Usage
98,AI Usage: Paid AI Subscriptions (ChatGPT Plus),Social/Usage
99,AI Usage: Paid AI Subscriptions (ChatGPT Pro),Social/Usage
100,AI Usage: Paid AI Subscriptions (Claude Max),Social/Usage
101,AI Usage: Paid AI Subscriptions (Claude Pro),Social/Usage
102,AI Usage: Paid AI Subscriptions (Google AI Pro),Social/Usage
103,AI Usage: Paid AI Subscriptions (Google AI Ultra),Social/Usage
104,AI Usage: Paid AI Subscriptions (Microsoft),Social/Usage
105,AI Usage: Used AI for Work (binary) (Yes),Social/Usage
106,AI Vibrancy Index Pillar Score: Economy (0-100),Global AI Vibrancy Tool
107,AI Vibrancy Index Pillar Score: Research and Development (0-100),Global AI Vibrancy Tool
108,AI Vibrancy Index Score: AI Hiring Index (0-100),Global AI Vibrancy Tool
109,AI Vibrancy Index Score: AI Talent Concentration (0-100),Global AI Vibrancy Tool
110,AI Vibrancy Index Score: Newly Funded Companies (0-100),Global AI Vibrancy Tool
111,AI Vibrancy Index Score: Private Investment (0-100),Global AI Vibrancy Tool
112,AI Vibrancy Index Score: Relative AI Skill Penetration (0-100),Global AI Vibrancy Tool
113,AI Vibrancy Index Score: Total Conference Citations (0-100),Global AI Vibrancy Tool
114,AI Vibrancy Index Score: Total Conference Publications (0-100),Global AI Vibrancy Tool
115,AI Vibrancy Index Score: Total Journal Citations (0-100),Global AI Vibrancy Tool
116,AI Vibrancy Index Score: Total Journal Publications (0-100),Global AI Vibrancy Tool
117,AI Vibrancy Index Score: Total Patent Fillings (0-100),Global AI Vibrancy Tool
118,AI Vibrancy Index Score: Total Patent Grants (0-100),Global AI Vibrancy Tool
119,AI Vibrancy Index Score: Total Repository Citations (0-100),Global AI Vibrancy Tool
120,AI Vibrancy Index Score: Total Repository Publications (0-100),Global AI Vibrancy Tool
121,AI Vibrancy Index Total Score (0-100),Global AI Vibrancy Tool
122,Access to electricity (% of population),Technological/Infrastructural
123,Alignment of National AI Strategy with OECD AI Principles (Cosine Similarity Score),Responsible AI
124,Annual Growth Rate Of Industrial Robots Installed,Economy
125,Authors Of Large Language And Multimodal Models (% Of Total),Research and Development
126,Benchmark: ARC AGI Score,Technological/Infrastructural
127,Benchmark: ARC AI2 Score,Technological/Infrastructural
128,Benchmark: Adversarial NLI Score,Technological/Infrastructural
129,Benchmark: Aider Polyglot Score,Technological/Infrastructural
130,Benchmark: BoolQ Score,Technological/Infrastructural
131,Benchmark: Chess Puzzles Score,Technological/Infrastructural
132,Benchmark: Common Sense QA 2 Score,Technological/Infrastructural
133,Benchmark: DeepResearchBench Score,Technological/Infrastructural
134,Benchmark: FrontierMath Score,Technological/Infrastructural
135,Benchmark: FrontierMath Tier 4 Score,Technological/Infrastructural
136,Benchmark: GPQA Diamond Score,Technological/Infrastructural
137,Benchmark: GSM8K Score,Technological/Infrastructural
138,Benchmark: GSO Score,Technological/Infrastructural
139,Benchmark: HellaSwag Score,Technological/Infrastructural
140,Benchmark: LAMBADA Score,Technological/Infrastructural
141,Benchmark: Lech Mazur Writing Score,Technological/Infrastructural
142,Benchmark: LiveBench Score,Technological/Infrastructural
143,Benchmark: METR Time Horizons Score,Technological/Infrastructural
144,Benchmark: MMLU Score,Technological/Infrastructural
145,Benchmark: Math Level 5 Score,Technological/Infrastructural
146,Benchmark: OS World Score,Technological/Infrastructural
147,Benchmark: OTIS Mock AIME 2024-2025 Score,Technological/Infrastructural
148,Benchmark: OpenBookQA Score,Technological/Infrastructural
149,Benchmark: PIQA Score,Technological/Infrastructural
150,Benchmark: SWE Bench Bash Score,Technological/Infrastructural
151,Benchmark: ScienceQA Score,Technological/Infrastructural
152,Benchmark: SimpleBench Score,Technological/Infrastructural
153,Benchmark: Simpleqa Score,Technological/Infrastructural
154,Benchmark: SuperGLUE Score,Technological/Infrastructural
155,Benchmark: Swe Bench Score,Technological/Infrastructural
156,Benchmark: TerminalBench Score,Technological/Infrastructural
157,Benchmark: The Agent Company Score,Technological/Infrastructural
158,Benchmark: TriviaQA Score,Technological/Infrastructural
159,Benchmark: VPCT Score,Technological/Infrastructural
160,Benchmark: WeirdML Score,Technological/Infrastructural
161,Benchmark: Winogrande Score,Technological/Infrastructural
162,"Businesses (Accommodation and food service activities, 10 or more)",Economy
163,"Businesses (Administrative and support service activities, 10 or more)",Economy
164,"Businesses (Construction, 10 or more)",Economy
165,"Businesses (Financial and insurance activities, 10 or more)",Economy
166,"Businesses (Information and communication, 10 or more)",Economy
167,"Businesses (Manufacturing, 10 or more)",Economy
168,"Businesses (Professional, scientific and technical activities, 10 or more)",Economy
169,"Businesses (Real estate activities, 10 or more)",Economy
170,"Businesses (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
171,"Businesses (Total - all activities, 10 or more)",Economy
172,"Businesses (Total - all activities, 100 or more)",Economy
173,"Businesses (Total - all activities, 250 or more)",Economy
174,"Businesses (Total - all activities, From 10 to 49)",Economy
175,"Businesses (Total - all activities, From 50 to 249)",Economy
176,"Businesses (Transportation and storage, 10 or more)",Economy
177,"Businesses (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
178,"Businesses experiencing ICT incidents (security breaches) (Accommodation and food service activities, 10 or more)",Economy
179,"Businesses experiencing ICT incidents (security breaches) (Administrative and support service activities, 10 or more)",Economy
180,"Businesses experiencing ICT incidents (security breaches) (Construction, 10 or more)",Economy
181,"Businesses experiencing ICT incidents (security breaches) (Financial and insurance activities, 10 or more)",Economy
182,"Businesses experiencing ICT incidents (security breaches) (Information and communication, 10 or more)",Economy
183,"Businesses experiencing ICT incidents (security breaches) (Manufacturing, 10 or more)",Economy
184,"Businesses experiencing ICT incidents (security breaches) (Professional, scientific and technical activities, 10 or more)",Economy
185,"Businesses experiencing ICT incidents (security breaches) (Real estate activities, 10 or more)",Economy
186,"Businesses experiencing ICT incidents (security breaches) (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
187,"Businesses experiencing ICT incidents (security breaches) (Total - all activities, 10 or more)",Economy
188,"Businesses experiencing ICT incidents (security breaches) (Total - all activities, 100 or more)",Economy
189,"Businesses experiencing ICT incidents (security breaches) (Total - all activities, 250 or more)",Economy
190,"Businesses experiencing ICT incidents (security breaches) (Total - all activities, 300 or more)",Economy
191,"Businesses experiencing ICT incidents (security breaches) (Total - all activities, From 10 to 49)",Economy
192,"Businesses experiencing ICT incidents (security breaches) (Total - all activities, From 100 to 299)",Economy
193,"Businesses experiencing ICT incidents (security breaches) (Total - all activities, From 50 to 249)",Economy
194,"Businesses experiencing ICT incidents (security breaches) (Transportation and storage, 10 or more)",Economy
195,"Businesses experiencing ICT incidents (security breaches) (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
196,"Businesses having performed big data analysis (Accommodation and food service activities, 10 or more)",Economy
197,"Businesses having performed big data analysis (Administrative and support service activities, 10 or more)",Economy
198,"Businesses having performed big data analysis (Construction, 10 or more)",Economy
199,"Businesses having performed big data analysis (Financial and insurance activities, 10 or more)",Economy
200,"Businesses having performed big data analysis (Information and communication, 10 or more)",Economy
201,"Businesses having performed big data analysis (Manufacturing, 10 or more)",Economy
202,"Businesses having performed big data analysis (Professional, scientific and technical activities, 10 or more)",Economy
203,"Businesses having performed big data analysis (Real estate activities, 10 or more)",Economy
204,"Businesses having performed big data analysis (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
205,"Businesses having performed big data analysis (Total - all activities, 10 or more)",Economy
206,"Businesses having performed big data analysis (Total - all activities, 250 or more)",Economy
207,"Businesses having performed big data analysis (Total - all activities, From 10 to 49)",Economy
208,"Businesses having performed big data analysis (Total - all activities, From 50 to 249)",Economy
209,"Businesses having performed big data analysis (Transportation and storage, 10 or more)",Economy
210,"Businesses having performed big data analysis (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
211,"Businesses having performed big data analysis only with external service provider (Accommodation and food service activities, 10 or more)",Economy
212,"Businesses having performed big data analysis only with external service provider (Administrative and support service activities, 10 or more)",Economy
213,"Businesses having performed big data analysis only with external service provider (Construction, 10 or more)",Economy
214,"Businesses having performed big data analysis only with external service provider (Financial and insurance activities, 10 or more)",Economy
215,"Businesses having performed big data analysis only with external service provider (Information and communication, 10 or more)",Economy
216,"Businesses having performed big data analysis only with external service provider (Manufacturing, 10 or more)",Economy
217,"Businesses having performed big data analysis only with external service provider (Professional, scientific and technical activities, 10 or more)",Economy
218,"Businesses having performed big data analysis only with external service provider (Real estate activities, 10 or more)",Economy
219,"Businesses having performed big data analysis only with external service provider (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
220,"Businesses having performed big data analysis only with external service provider (Total - all activities, 10 or more)",Economy
221,"Businesses having performed big data analysis only with external service provider (Total - all activities, 250 or more)",Economy
222,"Businesses having performed big data analysis only with external service provider (Total - all activities, From 10 to 49)",Economy
223,"Businesses having performed big data analysis only with external service provider (Total - all activities, From 50 to 249)",Economy
224,"Businesses having performed big data analysis only with external service provider (Transportation and storage, 10 or more)",Economy
225,"Businesses having performed big data analysis only with external service provider (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
226,"Businesses having performed big data analysis only with own employees (Accommodation and food service activities, 10 or more)",Economy
227,"Businesses having performed big data analysis only with own employees (Administrative and support service activities, 10 or more)",Economy
228,"Businesses having performed big data analysis only with own employees (Construction, 10 or more)",Economy
229,"Businesses having performed big data analysis only with own employees (Financial and insurance activities, 10 or more)",Economy
230,"Businesses having performed big data analysis only with own employees (Information and communication, 10 or more)",Economy
231,"Businesses having performed big data analysis only with own employees (Manufacturing, 10 or more)",Economy
232,"Businesses having performed big data analysis only with own employees (Professional, scientific and technical activities, 10 or more)",Economy
233,"Businesses having performed big data analysis only with own employees (Real estate activities, 10 or more)",Economy
234,"Businesses having performed big data analysis only with own employees (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
235,"Businesses having performed big data analysis only with own employees (Total - all activities, 10 or more)",Economy
236,"Businesses having performed big data analysis only with own employees (Total - all activities, 250 or more)",Economy
237,"Businesses having performed big data analysis only with own employees (Total - all activities, From 10 to 49)",Economy
238,"Businesses having performed big data analysis only with own employees (Total - all activities, From 50 to 249)",Economy
239,"Businesses having performed big data analysis only with own employees (Transportation and storage, 10 or more)",Economy
240,"Businesses having performed big data analysis only with own employees (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
241,"Businesses having performed big data analysis with both own employees and external service provider (Accommodation and food service activities, 10 or more)",Economy
242,"Businesses having performed big data analysis with both own employees and external service provider (Administrative and support service activities, 10 or more)",Economy
243,"Businesses having performed big data analysis with both own employees and external service provider (Construction, 10 or more)",Economy
244,"Businesses having performed big data analysis with both own employees and external service provider (Financial and insurance activities, 10 or more)",Economy
245,"Businesses having performed big data analysis with both own employees and external service provider (Information and communication, 10 or more)",Economy
246,"Businesses having performed big data analysis with both own employees and external service provider (Manufacturing, 10 or more)",Economy
247,"Businesses having performed big data analysis with both own employees and external service provider (Professional, scientific and technical activities, 10 or more)",Economy
248,"Businesses having performed big data analysis with both own employees and external service provider (Real estate activities, 10 or more)",Economy
249,"Businesses having performed big data analysis with both own employees and external service provider (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
250,"Businesses having performed big data analysis with both own employees and external service provider (Total - all activities, 10 or more)",Economy
251,"Businesses having performed big data analysis with both own employees and external service provider (Total - all activities, 250 or more)",Economy
252,"Businesses having performed big data analysis with both own employees and external service provider (Total - all activities, From 10 to 49)",Economy
253,"Businesses having performed big data analysis with both own employees and external service provider (Total - all activities, From 50 to 249)",Economy
254,"Businesses having performed big data analysis with both own employees and external service provider (Transportation and storage, 10 or more)",Economy
255,"Businesses having performed big data analysis with both own employees and external service provider (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
256,"Businesses placing orders (i.e. making purchases) over computer networks (Accommodation and food service activities, 10 or more)",Economy
257,"Businesses placing orders (i.e. making purchases) over computer networks (Administrative and support service activities, 10 or more)",Economy
258,"Businesses placing orders (i.e. making purchases) over computer networks (Construction, 10 or more)",Economy
259,"Businesses placing orders (i.e. making purchases) over computer networks (Financial and insurance activities, 10 or more)",Economy
260,"Businesses placing orders (i.e. making purchases) over computer networks (Information and communication, 10 or more)",Economy
261,"Businesses placing orders (i.e. making purchases) over computer networks (Manufacturing, 10 or more)",Economy
262,"Businesses placing orders (i.e. making purchases) over computer networks (Professional, scientific and technical activities, 10 or more)",Economy
263,"Businesses placing orders (i.e. making purchases) over computer networks (Real estate activities, 10 or more)",Economy
264,"Businesses placing orders (i.e. making purchases) over computer networks (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
265,"Businesses placing orders (i.e. making purchases) over computer networks (Total - all activities, 10 or more)",Economy
266,"Businesses placing orders (i.e. making purchases) over computer networks (Total - all activities, 100 or more)",Economy
267,"Businesses placing orders (i.e. making purchases) over computer networks (Total - all activities, 250 or more)",Economy
268,"Businesses placing orders (i.e. making purchases) over computer networks (Total - all activities, 300 or more)",Economy
269,"Businesses placing orders (i.e. making purchases) over computer networks (Total - all activities, From 10 to 49)",Economy
270,"Businesses placing orders (i.e. making purchases) over computer networks (Total - all activities, From 100 to 299)",Economy
271,"Businesses placing orders (i.e. making purchases) over computer networks (Total - all activities, From 50 to 249)",Economy
272,"Businesses placing orders (i.e. making purchases) over computer networks (Transportation and storage, 10 or more)",Economy
273,"Businesses placing orders (i.e. making purchases) over computer networks (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
274,"Businesses purchasing cloud computing services (Accommodation and food service activities, 10 or more)",Economy
275,"Businesses purchasing cloud computing services (Administrative and support service activities, 10 or more)",Economy
276,"Businesses purchasing cloud computing services (Construction, 10 or more)",Economy
277,"Businesses purchasing cloud computing services (Financial and insurance activities, 10 or more)",Economy
278,"Businesses purchasing cloud computing services (Information and communication, 10 or more)",Economy
279,"Businesses purchasing cloud computing services (Manufacturing, 10 or more)",Economy
280,"Businesses purchasing cloud computing services (Professional, scientific and technical activities, 10 or more)",Economy
281,"Businesses purchasing cloud computing services (Real estate activities, 10 or more)",Economy
282,"Businesses purchasing cloud computing services (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
283,"Businesses purchasing cloud computing services (Total - all activities, 10 or more)",Economy
284,"Businesses purchasing cloud computing services (Total - all activities, 100 or more)",Economy
285,"Businesses purchasing cloud computing services (Total - all activities, 250 or more)",Economy
286,"Businesses purchasing cloud computing services (Total - all activities, 300 or more)",Economy
287,"Businesses purchasing cloud computing services (Total - all activities, From 10 to 49)",Economy
288,"Businesses purchasing cloud computing services (Total - all activities, From 100 to 299)",Economy
289,"Businesses purchasing cloud computing services (Total - all activities, From 50 to 249)",Economy
290,"Businesses purchasing cloud computing services (Transportation and storage, 10 or more)",Economy
291,"Businesses purchasing cloud computing services (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
292,"Businesses purchasing cloud computing services for computing power to run own software (Accommodation and food service activities, 10 or more)",Economy
293,"Businesses purchasing cloud computing services for computing power to run own software (Administrative and support service activities, 10 or more)",Economy
294,"Businesses purchasing cloud computing services for computing power to run own software (Construction, 10 or more)",Economy
295,"Businesses purchasing cloud computing services for computing power to run own software (Financial and insurance activities, 10 or more)",Economy
296,"Businesses purchasing cloud computing services for computing power to run own software (Information and communication, 10 or more)",Economy
297,"Businesses purchasing cloud computing services for computing power to run own software (Manufacturing, 10 or more)",Economy
298,"Businesses purchasing cloud computing services for computing power to run own software (Professional, scientific and technical activities, 10 or more)",Economy
299,"Businesses purchasing cloud computing services for computing power to run own software (Real estate activities, 10 or more)",Economy
300,"Businesses purchasing cloud computing services for computing power to run own software (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
301,"Businesses purchasing cloud computing services for computing power to run own software (Total - all activities, 10 or more)",Economy
302,"Businesses purchasing cloud computing services for computing power to run own software (Total - all activities, 250 or more)",Economy
303,"Businesses purchasing cloud computing services for computing power to run own software (Total - all activities, From 10 to 49)",Economy
304,"Businesses purchasing cloud computing services for computing power to run own software (Total - all activities, From 50 to 249)",Economy
305,"Businesses purchasing cloud computing services for computing power to run own software (Transportation and storage, 10 or more)",Economy
306,"Businesses purchasing cloud computing services for computing power to run own software (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
307,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Accommodation and food service activities, 10 or more)",Economy
308,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Administrative and support service activities, 10 or more)",Economy
309,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Construction, 10 or more)",Economy
310,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Financial and insurance activities, 10 or more)",Economy
311,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Information and communication, 10 or more)",Economy
312,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Manufacturing, 10 or more)",Economy
313,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Professional, scientific and technical activities, 10 or more)",Economy
314,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Real estate activities, 10 or more)",Economy
315,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
316,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Total - all activities, 10 or more)",Economy
317,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Total - all activities, 250 or more)",Economy
318,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Total - all activities, From 10 to 49)",Economy
319,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Total - all activities, From 50 to 249)",Economy
320,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Transportation and storage, 10 or more)",Economy
321,"Businesses purchasing cloud computing services for customer relationship management (CRM) software (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
322,"Businesses purchasing cloud computing services for e-mail (Accommodation and food service activities, 10 or more)",Economy
323,"Businesses purchasing cloud computing services for e-mail (Administrative and support service activities, 10 or more)",Economy
324,"Businesses purchasing cloud computing services for e-mail (Construction, 10 or more)",Economy
325,"Businesses purchasing cloud computing services for e-mail (Financial and insurance activities, 10 or more)",Economy
326,"Businesses purchasing cloud computing services for e-mail (Information and communication, 10 or more)",Economy
327,"Businesses purchasing cloud computing services for e-mail (Manufacturing, 10 or more)",Economy
328,"Businesses purchasing cloud computing services for e-mail (Professional, scientific and technical activities, 10 or more)",Economy
329,"Businesses purchasing cloud computing services for e-mail (Real estate activities, 10 or more)",Economy
330,"Businesses purchasing cloud computing services for e-mail (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
331,"Businesses purchasing cloud computing services for e-mail (Total - all activities, 10 or more)",Economy
332,"Businesses purchasing cloud computing services for e-mail (Total - all activities, 100 or more)",Economy
333,"Businesses purchasing cloud computing services for e-mail (Total - all activities, 250 or more)",Economy
334,"Businesses purchasing cloud computing services for e-mail (Total - all activities, 300 or more)",Economy
335,"Businesses purchasing cloud computing services for e-mail (Total - all activities, From 10 to 49)",Economy
336,"Businesses purchasing cloud computing services for e-mail (Total - all activities, From 100 to 299)",Economy
337,"Businesses purchasing cloud computing services for e-mail (Total - all activities, From 50 to 249)",Economy
338,"Businesses purchasing cloud computing services for e-mail (Transportation and storage, 10 or more)",Economy
339,"Businesses purchasing cloud computing services for e-mail (Wholesale trade, except of motor vehicles and motorcycles, 10 or more)",Economy
340,"Businesses purchasing cloud computing services for finance or accounting software (Accommodation and food service activities, 10 or more)",Economy
341,"Businesses purchasing cloud computing services for finance or accounting software (Administrative and support service activities, 10 or more)",Economy
342,"Businesses purchasing cloud computing services for finance or accounting software (Construction, 10 or more)",Economy
343,"Businesses purchasing cloud computing services for finance or accounting software (Financial and insurance activities, 10 or more)",Economy
344,"Businesses purchasing cloud computing services for finance or accounting software (Information and communication, 10 or more)",Economy
345,"Businesses purchasing cloud computing services for finance or accounting software (Manufacturing, 10 or more)",Economy
346,"Businesses purchasing cloud computing services for finance or accounting software (Professional, scientific and technical activities, 10 or more)",Economy
347,"Businesses purchasing cloud computing services for finance or accounting software (Real estate activities, 10 or more)",Economy
348,"Businesses purchasing cloud computing services for finance or accounting software (Retail trade, except of motor vehicles and motorcycles, 10 or more)",Economy
349,"Businesses purchasing cloud computing services for finance or accounting software (Total - all activities, 10 or more)",Economy
350,"Businesses purchasing cloud computing services for finance or accounting software (Total - all activities, 250 or more)",Economy
351,"Businesses purchasing cloud computing services for finance or accounting software (Total - all activities, From 10 to 49)",Economy
352,"Businesses purchasing cloud computing services for finance or accounting software (Total - all activities, From 50 to 249)",Economy
