CountryKey,Country,ISO3,Region,IsLatAm,IsPeru
92,Iceland,ISL,Other Regions,False,False
93,India,IND,Other Regions,False,False
94,Indonesia,IDN,Other Regions,False,False
95,Iran,IRN,Other Regions,False,False
96,Iraq,IRQ,Other Regions,False,False
97,Ireland,IRL,Other Regions,False,False
98,Isle Of Man,IMN,Other Regions,False,False
99,Israel,ISR,Other Regions,False,False
100,Italy,ITA,Other Regions,False,False
101,Jamaica,JAM,Latin America & Caribbean,True,False
102,Japan,JPN,Other Regions,False,False
103,Jersey,JEY,Other Regions,False,False
104,Jordan,JOR,Other Regions,False,False
105,Kazakhstan,KAZ,Other Regions,False,False
106,Kenya,KEN,Other Regions,False,False
107,Kiribati,KIR,Other Regions,False,False
108,Kosovo,KSV,Other Regions,False,False
109,Kuwait,KWT,Other Regions,False,False
110,Kyrgyzstan,KGZ,Other Regions,False,False
111,Laos,LAO,Other Regions,False,False
112,Latvia,LVA,Other Regions,False,False
113,Lebanon,LBN,Other Regions,False,False
114,Lesotho,LSO,Other Regions,False,False
115,Liberia,LBR,Other Regions,False,False
116,Libya,LBY,Other Regions,False,False
117,Liechtenstein,LIE,Other Regions,False,False
118,Lithuania,LTU,Other Regions,False,False
119,Luxembourg,LUX,Other Regions,False,False
120,Macau,MAC,Other Regions,False,False
121,Madagascar,MDG,Other Regions,False,False
122,Malawi,MWI,Other Regions,False,False
123,Malaysia,MYS,Other Regions,False,False
124,Maldives,MDV,Other Regions,False,False
125,Mali,MLI,Other Regions,False,False
126,Malta,MLT,Other Regions,False,False
127,Marshall Islands,MHL,Other Regions,False,False
128,Martinique,MTQ,Other Regions,False,False
129,Mauritania,MRT,Other Regions,False,False
130,Mauritius,MUS,Other Regions,False,False
131,Mexico,MEX,Latin America & Caribbean,True,False
132,Micronesia,FSM,Other Regions,False,False
133,Moldova,MDA,Other Regions,False,False
134,Monaco,MCO,Other Regions,False,False
135,Mongolia,MNG,Other Regions,False,False
136,Montenegro,MNE,Other Regions,False,False
137,Montserrat,MSR,Other Regions,False,False
138,Morocco,MAR,Other Regions,False,False
139,Mozambique,MOZ,Other Regions,False,False
140,Myanmar,MMR,Other Regions,False,False
141,Namibia,NAM,Other Regions,False,False
142,Nauru,NRU,Other Regions,False,False
143,Nepal,NPL,Other Regions,False,False
144,Netherlands,NLD,Other Regions,False,False
145,New Caledonia,NCL,Other Regions,False,False
146,New Zealand,NZL,Other Regions,False,False
147,Nicaragua,NIC,Latin America & Caribbean,True,False
148,Niger,NER,Other Regions,False,False
149,Nigeria,NGA,Other Regions,False,False
150,North Korea,PRK,Other Regions,False,False
151,North Macedonia,MKD,Other Regions,False,False
152,Northern Mariana Islands,MNP,Other Regions,False,False
153,Norway,NOR,Other Regions,False,False
154,Oman,OMN,Other Regions,False,False
155,Pakistan,PAK,Other Regions,False,False
156,Palau,PLW,Other Regions,False,False
157,Palestine,PSE,Other Regions,False,False
158,Panama,PAN,Latin America & Caribbean,True,False
159,Papua New Guinea,PNG,Other Regions,False,False
160,Paraguay,PRY,Latin America & Caribbean,True,False
161,Peru,PER,Latin America & Caribbean,True,True
162,Philippines,PHL,Other Regions,False,False
163,Pitcairn,PCN,Other Regions,False,False
164,Poland,POL,Other Regions,False,False
165,Portugal,PRT,Other Regions,False,False
166,Puerto Rico,PRI,Other Regions,False,False
167,Qatar,QAT,Other Regions,False,False
168,Reunion,REU,Other Regions,False,False
169,Romania,ROU,Other Regions,False,False
170,Russia,RUS,Other Regions,False,False
171,Rwanda,RWA,Other Regions,False,False
172,Samoa,WSM,Other Regions,False,False
173,San Marino,SMR,Other Regions,False,False
174,Saudi Arabia,SAU,Other Regions,False,False
175,Senegal,SEN,Other Regions,False,False
176,Serbia,SRB,Other Regions,False,False
177,Seychelles,SYC,Other Regions,False,False
178,Sierra Leone,SLE,Other Regions,False,False
179,Singapore,SGP,Other Regions,False,False
180,Slovakia,SVK,Other Regions,False,False
181,Slovenia,SVN,Other Regions,False,False
182,Solomon Islands,SLB,Other Regions,False,False
183,Somalia,SOM,Other Regions,False,False
184,South Africa,ZAF,Other Regions,False,False
185,South Georgia and South Sandwich Is.,SGS,Other Regions,False,False
186,South Korea,KOR,Other Regions,False,False
187,South Sudan,SSD,Other Regions,False,False
188,Spain,ESP,Other Regions,False,False
189,Sri Lanka,LKA,Other Regions,False,False
190,St. Kitts And Nevis,KNA,Other Regions,False,False
191,St. Lucia,LCA,Other Regions,False,False
192,St. Vincent And The Grenadines,VCT,Other Regions,False,False
193,Sudan,SDN,Other Regions,False,False
194,Suriname,SUR,Latin America & Caribbean,True,False
195,Sweden,SWE,Other Regions,False,False
196,Switzerland,CHE,Other Regions,False,False
197,Syria,SYR,Other Regions,False,False
198,São Tomé and Principe,STP,Other Regions,False,False
199,Taiwan,TWN,Other Regions,False,False
200,Tajikistan,TJK,Other Regions,False,False
201,Tanzania,TZA,Other Regions,False,False
202,Thailand,THA,Other Regions,False,False
203,Timor-Leste,TLS,Other Regions,False,False
204,Togo,TGO,Other Regions,False,False
205,Tonga,TON,Other Regions,False,False
206,Trinidad And Tobago,TTO,Latin America & Caribbean,True,False
207,Tunisia,TUN,Other Regions,False,False
208,Turkey,TUR,Other Regions,False,False
209,Turkmenistan,TKM,Other Regions,False,False
210,Turks and Caicos Islands,TCA,Other Regions,False,False
211,Tuvalu,TUV,Other Regions,False,False
212,Uganda,UGA,Other Regions,False,False
213,Ukraine,UKR,Other Regions,False,False
214,United Arab Emirates,ARE,Other Regions,False,False
215,United Kingdom,GBR,Other Regions,False,False
216,United States,USA,Other Regions,False,False
217,United States Minor Outlying Islands,UMI,Other Regions,False,False
218,United States Virgin Islands,VIR,Other Regions,False,False
219,Uruguay,URY,Latin America & Caribbean,True,False
220,Uzbekistan,UZB,Other Regions,False,False
221,Vanuatu,VUT,Other Regions,False,False
222,Vatican,VAT,Other Regions,False,False
223,Venezuela,VEN,Latin America & Caribbean,True,False
224,Vietnam,VNM,Other Regions,False,False
225,Yemen,YEM,Other Regions,False,False
226,Zambia,ZMB,Other Regions,False,False
227,Zimbabwe,ZWE,Other Regions,False,False
